  PID TTY           TIME CMD
  567 ??         0:30.43 /usr/sbin/coreaudiod
  570 ??         0:01.41 /usr/sbin/usernoted
  571 ??         0:10.60 /Applications/Epson Software/Event Manager.app/Contents/Resources/Assistants/Event Manager/EEventManager.app/Contents/MacOS/EEventManager
  572 ??         0:02.69 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  573 ??         0:00.65 /usr/libexec/nsurlsessiond
  574 ??         0:00.06 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  575 ??         0:00.79 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  576 ??         0:00.08 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  577 ??         0:06.15 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  578 ??         0:00.42 /usr/libexec/secinitd
  579 ??         0:04.73 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  581 ??         0:00.48 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  582 ??         0:00.19 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  584 ??         0:01.37 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  587 ??         0:00.20 /System/Library/CoreServices/Menu Extras/AirPort.menu/Contents/XPCServices/com.apple.wifi.proxy.xpc/Contents/MacOS/com.apple.wifi.proxy
  589 ??         0:00.94 /System/Library/CoreServices/iconservicesagent
  592 ??         0:00.06 /System/Library/CoreServices/backupd.bundle/Contents/Resources/TMCacheDelete
  594 ??         0:00.02 /usr/sbin/diskmanagementd
  596 ??         0:00.16 /usr/sbin/filecoordinationd
  598 ??         0:00.08 /System/Library/CoreServices/pbs
  599 ??         0:02.17 /System/Library/PrivateFrameworks/ParsecUI.framework/Versions/A/Support/SpotlightNetHelper.app/Contents/MacOS/SpotlightNetHelper
  603 ??         0:00.79 /System/Library/PrivateFrameworks/CalendarAgent.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  605 ??         0:00.40 /usr/libexec/sharingd
  606 ??         0:00.34 /usr/libexec/pkd
  610 ??         0:00.36 /usr/libexec/secd
  611 ??         0:00.37 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  612 ??         0:00.06 /System/Library/CoreServices/ScopedBookmarkAgent
  613 ??         0:00.63 /System/Library/PrivateFrameworks/InternetAccounts.framework/Versions/A/XPCServices/com.apple.internetaccounts.xpc/Contents/MacOS/com.apple.internetaccounts
  614 ??         0:00.93 /usr/libexec/nsurlstoraged
  615 ??         0:00.21 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  616 ??         0:02.64 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  619 ??         0:00.48 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  620 ??         0:00.88 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  621 ??         0:00.03 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  622 ??         0:00.49 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  623 ??         0:00.46 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  624 ??         0:00.14 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  625 ??         0:00.24 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  627 ??         0:00.10 /Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/osxruby/ruby -I/Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/osxruby /Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/run.rb --startup
  629 ??         0:00.03 /usr/libexec/spindump_agent
